"Palabra clave",Dificultad,Posición,"Posición anterior","Posición de las Funciones SERP","Vol. de búsqueda","Intención de búsqueda","Funciones SERP",Competencia,CPC,URL,Tráfico,"Cuota del tráfico","Coste del tráfico"
"nueva ley control horario trabajadores",14,1,4,,480,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Encontrar resultados en, Búsquedas relacionadas",0.45,0.53,https://kronjop.com/es/newsroom/control-horario/ley/,112,29.79,59.67
"control laboral",100,1,,"Vistas creadas con IA",2400,"L, C","Reseñas, Vídeo, Preguntas relacionadas, GBP, Vistas creadas con IA, Búsquedas relacionadas",0.32,1.96,https://kronjop.com/es/newsroom/control-horario/ley/,23,6.12,44.99
"ley control horario",22,2,3,,260,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.24,0.93,https://kronjop.com/es/newsroom/control-horario/ley/,21,5.59,19.44
"reloj laboral",100,1,,"Vistas creadas con IA",1500,"L, C","Reseñas, Vídeo, Preguntas relacionadas, Imágenes, GBP, Vistas creadas con IA",0.33,0.02,https://kronjop.com/es/newsroom/control-horario/ley/,12,3.19,0.21
"control horario empresas pequeñas",6,2,2,,140,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",1,1.57,https://kronjop.com/es/newsroom/control-horario/empresas-pequenas-y-pymes/,10,2.66,15.72
"ley registro horario",17,2,8,,110,I,"Vídeo, Vistas creadas con IA, Búsquedas relacionadas",0.14,0.26,https://kronjop.com/es/newsroom/control-horario/ley/,9,2.39,2.36
"ley de registro horario",18,2,12,,70,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.22,0.41,https://kronjop.com/es/newsroom/control-horario/ley/,6,1.6,2.46
"nueva ley control horario",10,2,20,,70,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.32,0.66,https://kronjop.com/es/newsroom/control-horario/ley/,6,1.6,3.93
"registro jornada laboral digital",15,3,,"Preguntas relacionadas",390,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",1,1.51,https://kronjop.com/es/newsroom/control-horario/digital/obligatorio/,6,1.6,9.07
"fichaje digital obligatorio",14,5,5,,200,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.97,1.61,https://kronjop.com/es/newsroom/control-horario/digital/obligatorio/,6,1.6,9.64
"que es trabajo a tiempo parcial",11,1,,"Vistas creadas con IA",590,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0,0,https://kronjop.com/es/newsroom/control-horario/jornada/parcial/,5,1.33,0
"control horario de trabajadores",12,1,1,"Vistas creadas con IA",390,I,"Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.87,1.21,https://kronjop.com/es/newsroom/control-horario/ley/,4,1.06,4.82
"control de horarios trabajo",23,7,,"Preguntas relacionadas",390,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Búsquedas relacionadas",0.87,1.21,https://kronjop.com/es/newsroom/control-horario/ley/,4,1.06,4.82
"app control horario",12,1,,"Vistas creadas con IA",480,I,"Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.82,2.29,https://kronjop.com/es/newsroom/control-horario/software-apps/mejores/,4,1.06,9.15
"registro control horario",24,4,10,,110,I,"Reseñas, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.99,2.39,https://kronjop.com/es/newsroom/control-horario/ley/,4,1.06,9.57
"control de horarios",12,1,,"Vistas creadas con IA",390,I,"Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.85,1.6,https://kronjop.com/es/newsroom/control-horario/ley/,3,0.8,4.79
"control de horas trabajadas",23,5,,"Preguntas relacionadas",390,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.87,1.21,https://kronjop.com/es/newsroom/control-horario/ley/,3,0.8,3.62
"ley registro jornada laboral",17,4,11,,70,I,"Reseñas, Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.16,0.13,https://kronjop.com/es/newsroom/control-horario/ley/,3,0.8,0.39
"sistemas de fichaje para empresas",12,1,,"Vistas creadas con IA",320,I,"Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.99,2.37,https://kronjop.com/es/newsroom/control-horario/sistemas-fichaje/,3,0.8,7.1
"nuevo control horario",9,3,30,,70,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.68,0.81,https://kronjop.com/es/newsroom/control-horario/ley/,3,0.8,2.44
"fichar en el trabajo con el móvil",12,3,,"Preguntas relacionadas",390,I,"Vídeo, Preguntas relacionadas, Vistas creadas con IA",0.78,0.77,https://kronjop.com/es/newsroom/control-horario/sistemas-fichaje/whatsapp/,3,0.8,2.31
"ley de fichar",18,4,20,,70,I,"Reseñas, Vídeo, Preguntas relacionadas, Vistas creadas con IA, Búsquedas relacionadas",0.33,0.51,https://kronjop.com/es/newsroom/control-horario/ley/,3,0.8,1.52
"control horario autonomos",14,2,2,,40,I,"Reseñas, Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA, Búsquedas relacionadas",0.63,1.66,https://kronjop.com/es/newsroom/control-horario/autonomos/,3,0.8,4.98
"control de horarios trabajadores",12,2,,"Preguntas relacionadas",390,I,"Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.87,1.21,https://kronjop.com/es/newsroom/control-horario/ley/,3,0.8,3.62
"registro horario digital",11,14,34,,810,"L, C","Reseñas, Preguntas relacionadas, GBP, Vistas creadas con IA, Búsquedas relacionadas",0.93,1.64,https://kronjop.com/es/newsroom/control-horario/digital/obligatorio/,3,0.8,4.93
"control de la jornada laboral",12,1,,"Vistas creadas con IA",390,I,"Vídeo, Preguntas relacionadas, Imágenes, Vistas creadas con IA",0.78,2.71,https://kronjop.com/es/newsroom/control-horario/ley/,3,0.8,8.12
"controlador de horas",12,2,,"Preguntas relacionadas",390,I,"Vídeo, Preguntas relacionadas, Búsquedas relacionadas",0.85,1.6,https://kronjop.com/es/newsroom/control-horario/ley/,3,0.8,4.79
